-585,-1255,422,-3539,-245,2231,-7401,3124,-1972,-1358,1569,-1451,-669,-3427,543,790,1628,1725,-2410,-2419,3346,1256,2385,-1431,-293,-2578,142,1556,16,-807,576,899,1613,2427,138,-239,-4243,661,-1414,2327,588,1080,443,1221,6859,1373,-295,2024,-47,-1775,-518,732,-3395,2926,-4435,-1478,83,-1893,548,-694,
1378,1870,-1093,4742,-535,-1635,-763,-2019,-728,-1165,-1719,-3077,-1415,-339,1169,-3784,1674,-3072,-1088,-1080,3531,-166,-1055,-3979,-1459,1308,5147,-7,-910,-2519,2871,-3054,1822,1093,-339,1415,153,997,-1286,2998,3463,616,-817,-2540,-1290,2111,-1279,-968,-1097,2045,-2686,876,-1340,-400,-3903,1627,-416,-1388,1361,-885,
233,1844,2283,-2459,4033,1417,-1454,2206,-1590,973,1931,2041,1220,-4127,-1934,-1019,5766,3544,-1333,1284,2687,4631,2929,-1911,2531,-1509,2128,1217,-195,1861,478,-1431,-1193,-619,-4220,4885,-484,563,-1412,-1946,728,-964,410,700,3512,2007,2118,-3159,1343,4757,-1033,-72,-3051,-1485,1711,-1900,-4182,2756,-4041,1886,
1841,2639,2465,332,-1480,2516,-196,3304,790,2001,1265,2566,-1814,-768,-3991,-3809,863,-1442,-810,-2841,-2800,-2198,41,-946,1704,1567,-2535,4655,-1718,-434,-4637,1338,-214,-1275,-893,-2729,-1796,-3558,-984,2373,-3312,-4949,-4105,-2486,1841,-792,-1846,2004,-1113,-1785,1446,-243,1605,81,3689,-846,5634,9,-1322,-1527,
356,-3143,1664,1308,374,-1793,2174,-4343,-5481,2647,-699,792,1173,-461,715,-1990,-1628,-1246,-1652,-1792,-6065,-1069,-741,-3954,1003,4554,667,783,2420,622,1696,1399,-2157,-1309,3013,-1877,1067,-3463,-4076,1582,714,-920,224,-1458,-2349,865,-1165,4269,4165,-1834,1603,-669,-1261,-1213,-12,2736,-1457,-4521,1640,-587,
-700,370,-709,-4040,-2516,2701,-2165,-1474,2856,-3910,4518,-1062,-578,-719,181,868,3053,1,1650,-299,2317,412,-1360,2623,2171,-1109,-1270,-2414,1273,-415,1698,791,421,-1222,-3416,1231,-4904,-499,-1177,-71,1383,977,1910,475,2296,1528,855,-474,1535,769,82,-2061,788,-1674,-4367,2707,6340,2101,3142,-1428,
-1978,-1564,914,3508,-2140,3500,-204,3951,-1914,684,1134,2382,-4328,1247,1357,1802,5092,-674,164,-1624,1027,1396,794,-966,-3071,1824,1657,-1163,-362,136,3230,-4060,630,2995,-2792,-784,812,-1978,-1957,3167,-1482,1042,1615,93,-3688,1912,2141,2208,471,-700,3144,-324,-955,-485,2576,444,-1538,-2442,-436,108,
2422,-1085,232,-1842,-1326,-2083,754,-75,-1200,1853,-1907,-3765,446,4149,2083,-2027,264,-1108,-2881,-469,-5170,1183,-3132,-242,2703,-1840,-2851,1576,2394,-1561,1509,-2,71,-1401,-1222,1374,-1019,149,-3925,190,-1236,1338,46,471,-2123,-946,-184,302,1113,-1612,-90,-1407,-2119,-1561,-1376,-1042,-753,-5021,1013,-1640,
2375,-1807,1996,2606,-504,306,-1839,-1612,1234,4410,958,754,-17,936,-2409,-2342,932,3300,-2739,243,-3353,-765,3411,-662,6451,-489,1601,-1852,1684,1909,-2286,148,-448,1162,-3552,-2226,-1497,-6445,-6869,-2223,2171,300,-3813,1651,743,3321,-3020,-2238,3674,-948,838,714,-2288,-1373,-173,3474,-1136,1595,2234,-1157,
644,753,566,821,-3306,-2024,-68,-147,-1196,1462,-3874,-61,-1721,568,-944,-103,1675,1543,3198,2924,-1117,-1060,975,-199,-218,-3601,834,593,2545,542,-3318,-797,-1508,-1198,-3064,1497,724,-2604,-2277,-1147,-143,-412,-5282,-303,-595,-171,-4292,-1915,-870,593,-2496,690,-2250,-1094,-185,417,2576,-771,4100,-3857,
