1530,-412,-1353,1468,-1099,3004,383,-232,571,-228,233,3384,-3985,449,-950,-2110,750,1712,1866,-2516,-1572,-459,-2756,230,-995,-450,20,2936,-263,149,249,-1047,-1523,489,-847,-1234,1247,3238,1393,1350,1473,-1795,546,3274,-192,-1076,964,1417,804,35,1392,1037,1619,-850,1395,-356,-3753,-261,78,-217,589,1284,-239,2206,-847,1078,-106,813,-1722,-475,-836,-1763,513,2617,382,515,-926,1019,-404,-631,2883,447,-714,-721,63,2133,-1274,23,-320,-525,1429,713,450,102,-1148,-3387,-910,-1922,2737,2024,
-2139,-444,2653,1724,23,-1204,-417,-692,-1430,-54,747,268,-544,-3527,-756,139,2655,-331,-220,-2950,-45,1498,-2465,-2631,-1400,-2068,-686,966,-2914,1912,-2512,-184,-1054,58,194,-2902,1727,503,667,103,4225,2617,734,-1309,-722,-669,-275,1581,1455,-871,887,16,777,-1726,-6,-1127,19,-2006,-220,1265,-2310,237,-565,-1028,932,-501,-948,-1009,952,1057,-163,169,1764,1061,1060,490,607,2239,-715,569,462,747,14,1896,-623,848,1338,-1426,711,-873,2246,-111,-389,-1541,-3341,938,1352,112,2004,3252,
1128,1243,2713,-2521,-1540,1551,-2141,-821,969,942,617,-229,132,688,-1447,531,336,1306,2392,552,-1350,575,-1610,-405,-117,447,534,71,-203,112,624,1862,-1052,-2684,4024,357,791,1453,341,1772,-1006,-1934,2496,1911,490,533,-1008,773,754,816,-176,155,1095,-617,-545,-66,820,-3194,-416,-365,4057,2323,5157,-4508,-593,960,-212,-2193,1464,-1062,190,-627,-1464,-1868,-3593,-1167,-560,-3152,414,1430,-8,729,187,-3245,787,57,-592,-1754,-1569,-48,932,710,-1043,232,35,1293,298,-1040,2182,484,
-1044,-1114,-1559,2589,-523,321,-1042,894,-2696,1770,859,1020,-1835,332,-1664,-3043,-1099,-1044,1116,-1625,-2291,-4001,-2253,1326,4415,-2021,370,2792,-3128,-6,-420,536,-1676,4141,-941,-1114,1158,1005,730,469,3905,792,546,-1683,1001,739,-978,508,-2930,-1134,-1131,475,714,-1415,2165,356,-819,1679,-1815,-630,-1148,485,-2510,759,479,-339,1045,-1866,750,2609,-50,-2243,1674,-2255,-485,-184,-682,1222,1395,-1056,1983,1301,-60,262,26,-308,341,-1680,221,-593,2817,-252,482,-132,-3870,4093,704,557,1602,1084,
119,-1890,-1252,-928,763,-250,1260,1931,-2097,-1607,-624,-1,-1606,-1295,584,798,-1544,1741,-2628,1665,-344,-516,132,1757,1331,702,703,1168,1615,-175,1500,812,-71,2073,-259,41,754,120,338,-15,374,-2193,1384,-2075,2095,-552,-771,-159,1215,2118,-3449,756,-150,-156,780,58,2196,545,1977,-2639,521,-1268,-2226,129,-887,733,-1207,385,-414,153,-155,-1762,1414,-88,-3639,439,114,-5328,184,-1118,666,-3502,-133,-5513,-1122,-1553,-560,-2586,-1612,-19,2770,-337,3772,571,76,-883,562,3188,-520,249,
1337,2135,-778,-861,-666,-693,-1724,1155,43,232,110,-84,-1621,1298,810,-1308,1902,2142,857,1127,-1322,-90,-5384,-2644,-367,-55,235,-2334,-572,-784,2138,2118,-708,-3300,1095,-345,2074,-1555,935,-547,-3055,1031,-981,297,53,1317,-2464,3773,1811,2550,1428,105,-639,3470,949,-234,-988,275,-855,203,1135,810,-362,105,1380,-3530,-316,-625,1012,-1541,791,811,-1252,2227,2512,-3087,-332,-4110,2714,-1726,631,1025,-1269,-38,1211,-818,752,-1751,-235,-2472,1720,-50,571,-1931,978,690,720,-728,3759,-885,
-1854,100,1613,767,268,-331,1095,201,34,-1498,1013,323,-1323,-330,-2343,-715,1506,-2568,838,-3203,-545,2556,1087,1121,-2311,765,1087,1064,-75,-1130,-788,-1819,1845,-4088,-1458,-659,-1900,600,363,864,430,239,-1580,1221,1533,-66,1014,1097,100,-2185,706,844,282,-842,-2028,-470,-1977,-4399,1008,2816,2891,-1297,1844,162,-35,1872,-461,-792,294,-1081,1830,1388,-1805,1498,1009,2549,179,1903,-1463,3396,-2163,-234,-229,1108,-1978,662,-147,782,71,1101,2170,903,-4110,-536,1770,-1933,778,1237,-299,1716,
1305,-19,3640,-919,-539,2094,2829,2074,-1043,1145,-170,-2909,109,492,-144,2157,-1740,-1308,1367,-2248,-1091,4,1690,257,-1623,1352,1530,-1209,-2439,-332,1467,2207,1150,-2209,-2347,616,-690,1836,426,1132,1459,-2813,1669,1950,-2311,282,-774,-434,-250,-1086,198,1560,-1595,-921,597,-1499,-2046,-2091,451,-197,1053,4001,532,-470,-4100,1100,1603,675,648,369,1139,-377,296,4472,3318,-60,-1423,667,1823,1042,1186,-1080,-167,927,542,-2932,280,-949,379,-2300,1165,2375,-1109,143,1803,-1121,737,568,537,141,
-759,-241,3041,-1898,1557,-536,-326,1424,-511,-1286,-2394,-80,2536,40,1454,715,-1146,-569,-486,2917,-3843,-1751,-328,4202,822,1689,-123,929,424,1479,2375,-310,-2872,943,-889,1759,-1223,2774,502,-2468,-2226,-1844,2015,-2267,-1286,495,-681,920,-1377,1195,475,-1569,-86,-152,427,1700,1088,-577,-3104,-1486,628,-84,23,297,-1259,25,1285,1259,151,-1291,-297,-1283,382,-1582,-1175,1031,-2316,-2176,1546,-529,248,-775,466,-1208,324,-1907,-1311,-636,-2600,1265,1286,1792,237,1059,1443,784,-2009,1634,-2881,371,
2125,-1964,3896,980,1411,-317,-2717,-2890,-1347,1377,-1139,990,-1495,-891,-901,774,587,1143,-651,-342,2409,-3852,-1032,1020,-2518,-668,-2843,3297,1662,1082,90,-2453,-1451,1055,2536,-1844,1956,2169,-1527,-328,1789,929,-2165,-1218,1221,2262,-904,-318,-1036,-224,2052,-586,1904,-288,937,-662,-2393,2148,-962,-2855,-2574,-323,-1108,693,-269,-460,1685,-27,-933,1028,-4411,-930,141,3611,-1145,3298,361,0,-3049,-4403,-1541,-122,2687,-845,435,1185,-1357,1985,-1082,-32,1579,106,-1180,1352,-1181,4404,1975,1470,-959,1142,
